q,lat,lng,region_res5,region_res4
costco,40.69418,-74.287641,852a107bfffffff,842a107ffffffff
costco,38.895159,-77.443073,852aaab3fffffff,842aaabffffffff
costco,30.022264,-95.267074,85446c23fffffff,84446c3ffffffff
costco,41.091814,-73.451216,852a1083fffffff,842a109ffffffff
costco,36.806157,-119.702774,8529ab9bfffffff,8429ab9ffffffff
costco,30.471962,-97.591521,85489e2ffffffff,84489e3ffffffff
costco,34.514996,-117.318601,8529a067fffffff,8429a39ffffffff
costco,26.588499,-80.071639,8544ae83fffffff,8444ae9ffffffff
costco,28.495552,-81.425431,8544a907fffffff,8444a91ffffffff
costco,20.887105,-156.450871,855d144ffffffff,845d145ffffffff
costco,33.659388,-112.115502,8529b6c3fffffff,8429b6dffffffff
costco,42.231906,-71.173641,852a339bfffffff,842a339ffffffff
costco,19.685862,-156.01706,855d107bfffffff,845d107ffffffff
costco,44.840432,-93.601984,85262cdbfffffff,84262cdffffffff
costco,29.981552,-81.463435,8544f0cbfffffff,8444f0dffffffff
costco,38.783511,-77.516895,852aaaa3fffffff,842aaabffffffff
costco,47.565393,-122.330328,8528d557fffffff,8428d55ffffffff
costco,33.77242,-117.940792,8529a0b7fffffff,8429a0bffffffff
costco,29.782545,-95.78152,85446ca7fffffff,84446ddffffffff
costco,32.918454,-96.767497,8526c867fffffff,8426c87ffffffff
costco,45.811992,-122.69178,8528f077fffffff,8428f07ffffffff
costco,33.919849,-118.102206,8529a56bfffffff,8429a57ffffffff
costco,40.049342,-82.908832,852a9563fffffff,842a957ffffffff
costco,42.270924,-85.650394,85274867fffffff,8427487ffffffff
costco,44.046708,-92.516993,85262ddbfffffff,84262ddffffffff
costco,40.107519,-83.191302,852a90b7fffffff,842a90bffffffff
costco,32.326318,-111.048773,8548e80bfffffff,8448e81ffffffff
costco,29.968379,-90.11131,85444657fffffff,8444465ffffffff
costco,35.384448,-119.049137,8529aeb3fffffff,8429aebffffffff
costco,37.991522,-87.467091,85266a13fffffff,84266a1ffffffff
costco,39.959538,-105.174396,852681a3fffffff,842681bffffffff
costco,42.083331,-87.932579,85275937fffffff,8427593ffffffff
costco,41.759023,-87.744844,85266453fffffff,8426645ffffffff
costco,42.515657,-83.117504,852ab2c3fffffff,842ab2dffffffff
costco,40.435498,-74.505113,852a13d3fffffff,842a13dffffffff
costco,41.177519,-96.109619,85260e2ffffffff,84260e3ffffffff
costco,37.56182,-122.27433,85283093fffffff,8428309ffffffff
costco,44.638814,-123.069263,8528f433fffffff,8428f43ffffffff
costco,26.009297,-80.360676,8544a1abfffffff,8444a1bffffffff
costco,28.190903,-80.720204,8544a82ffffffff,8444a83ffffffff
costco,33.17469,-96.836009,8526c80ffffffff,8426c81ffffffff
costco,38.796202,-90.607001,8526463bfffffff,8426463ffffffff
costco,43.585313,-116.276446,8528843bfffffff,8428843ffffffff
costco,48.234067,-114.332512,85289b7bfffffff,84289b7ffffffff
costco,42.015086,-87.780807,852664dbfffffff,842664dffffffff
costco,40.694028,-111.954904,85269607fffffff,8426961ffffffff
costco,36.809892,-119.874122,8529ab83fffffff,8429ab9ffffffff
costco,38.203867,-85.668315,852668b3fffffff,842668bffffffff
costco,33.023981,-96.831691,8526c877fffffff,8426c87ffffffff
costco,38.958895,-94.73369,85265673fffffff,8426567ffffffff
costco,35.604962,-97.531073,8526c19bfffffff,8426c19ffffffff
costco,33.6079,-112.410961,8529b68bfffffff,8429b69ffffffff
costco,37.66746,-122.102371,8528309bfffffff,8428347ffffffff
costco,38.861708,-77.057459,852aa87bfffffff,842aa85ffffffff
costco,35.129532,-80.704646,8544dab3fffffff,8444dabffffffff
costco,45.509163,-122.841581,8528f017fffffff,8428f01ffffffff
costco,41.71954,-86.171755,85274b0bfffffff,84274b5ffffffff
costco,38.294539,-77.515922,852aab53fffffff,842aab5ffffffff
costco,38.316797,-85.572977,85266d4bfffffff,84266d5ffffffff
costco,48.7908,-122.514966,8528d17bfffffff,8428d17ffffffff
costco,46.423092,-117.043148,85288ad3fffffff,84288e7ffffffff
costco,41.475791,-87.321219,8526640ffffffff,8426641ffffffff
costco,42.607009,-83.293041,852ab2dbfffffff,842ab2dffffffff
costco,38.10026,-121.263328,8528362bfffffff,8428363ffffffff
costco,33.703358,-117.931571,8529a54ffffffff,8429a0bffffffff
costco,33.942783,-118.333392,8529a56ffffffff,8429a57ffffffff
costco,44.105046,-121.305848,8528a903fffffff,8428a91ffffffff
costco,41.753059,-111.858116,8528b657fffffff,8428b61ffffffff
costco,37.357214,-121.937336,85283473fffffff,8428347ffffffff
costco,32.901671,-97.32013,8526caa7fffffff,8426cabffffffff
costco,32.608534,-117.083885,8529a4c7fffffff,8429a4dffffffff
costco,42.904696,-112.45576,8528b2abfffffff,8428b2bffffffff
costco,37.122776,-113.523389,85299577fffffff,8429957ffffffff
costco,38.741714,-77.087693,852aa87bfffffff,842aa87ffffffff
costco,39.357858,-76.444935,852aa8d7fffffff,842aa8dffffffff
costco,33.219878,-96.879747,8526c80ffffffff,8426c81ffffffff
costco,47.825866,-122.309838,8528d54ffffffff,8428d55ffffffff
costco,40.238526,-75.57551,852aac9bfffffff,842aac9ffffffff
costco,26.273416,-80.149981,8544a12bfffffff,8444a13ffffffff
costco,40.419833,-74.170849,852a1067fffffff,842a107ffffffff
amc,25.956286,-80.146296,8544a103fffffff,8444a11ffffffff
amc,33.316841,-111.977307,8548ebb7fffffff,8448ebbffffffff
amc,37.740306,-97.241089,8526e38bfffffff,8426e39ffffffff
amc,41.891478,-87.618792,852664c3fffffff,842664dffffffff
amc,41.962215,-87.807336,852664cbfffffff,842664dffffffff
amc,36.10651,-95.91931,8526ee2ffffffff,8426ee3ffffffff
amc,32.678907,-97.127693,8526cbd7fffffff,8426cbdffffffff
amc,33.075306,-97.085729,8526c87bfffffff,8426c87ffffffff
amc,32.966642,-97.044703,8526c863fffffff,8426c87ffffffff
amc,26.169789,-80.114828,8544a13bfffffff,8444a13ffffffff
amc,28.666548,-81.38127,8544a93bfffffff,8444a91ffffffff
amc,34.155472,-84.177485,8544c12ffffffff,8444c13ffffffff
amc,34.048014,-84.296421,8544c123fffffff,8444c13ffffffff
amc,33.853328,-84.36074,8544c133fffffff,8444c13ffffffff
amc,30.392309,-86.423499,8544e5affffffff,8444e5bffffffff
amc,39.874111,-83.03769,852a956ffffffff,842a957ffffffff
amc,30.002289,-90.183011,85444657fffffff,8444465ffffffff
amc,42.394489,-71.080047,852a3067fffffff,842a307ffffffff
amc,42.62202,-83.060158,852ab2d3fffffff,842ab2dffffffff
amc,26.177642,-80.269143,8544a133fffffff,8444a13ffffffff
amc,40.587133,-75.558348,852a1273fffffff,842a127ffffffff
amc,39.938331,-75.353495,852aacb3fffffff,842aacbffffffff
amc,47.385009,-122.234067,8528d5cbfffffff,8428d5dffffffff
amc,47.457517,-122.258778,8528d553fffffff,8428d5dffffffff
amc,35.172953,-80.850075,8544d84ffffffff,8444d85ffffffff
amc,44.879526,-93.325828,85262cd3fffffff,84262cdffffffff
amc,37.154753,-93.230169,85265333fffffff,8426533ffffffff
amc,26.364261,-98.791485,8548b173fffffff,8448b17ffffffff
amc,31.524849,-97.159696,85489a2bfffffff,84489a7ffffffff
amc,39.006177,-77.487908,852aaa87fffffff,842aaa9ffffffff
amc,42.697734,-71.440954,852a304ffffffff,842a305ffffffff
amc,41.426939,-81.737763,852ab38ffffffff,842ab39ffffffff
amc,47.579076,-122.170252,8528d55bfffffff,8428d55ffffffff
amc,39.045791,-76.937556,852aa857fffffff,842aa85ffffffff
amc,42.531069,-83.111036,852ab2c3fffffff,842ab2dffffffff
