query,region_res5,region_res4,label,total_orders,source,share_near,share_far,dist_segment
massage,85269633fffffff,8426963ffffffff,0,50,REAL,0.835820895522388,0.14925373134328357,LOCAL
massage,85275937fffffff,8427593ffffffff,0,50,REAL,0.82089552238805974,0.059701492537313432,LOCAL
valvoline oil change,852a10cffffffff,842a10dffffffff,1,50,REAL,0.46268656716417911,0.11940298507462686,MIXED
laser hair removal,8526c877fffffff,8426c87ffffffff,1,50,REAL,0.79104477611940294,0.059701492537313432,LOCAL
oil change,85269683fffffff,8426969ffffffff,2,50,REAL,0.26865671641791045,0.19402985074626866,MIXED
valvoline,852a1407fffffff,842a141ffffffff,2,50,REAL,0.4925373134328358,0.089552238805970144,MIXED
coaster,8544ca07fffffff,8444ca1ffffffff,3,50,REAL,0.1044776119402985,0.70149253731343286,TRAVEL_LIKE
wilderness at the smokies,8544ca3bfffffff,8444ca3ffffffff,3,50,REAL,0.044776119402985072,0.835820895522388,TRAVEL_LIKE
go city,852986bbfffffff,842986bffffffff,3,50,REAL,0.26865671641791045,0.73134328358208955,TRAVEL_LIKE
teeth whitening,852a100ffffffff,842a101ffffffff,0,50,REAL,0.86764705882352944,0.11764705882352941,LOCAL
emissions,852696abfffffff,842696bffffffff,0,50,REAL,0.8529411764705882,0.11764705882352941,LOCAL
peachy airport parking,8544c1abfffffff,8444c1bffffffff,1,50,REAL,0.54411764705882348,0.088235294117647065,MIXED
yankee peddler,852ab337fffffff,842ab33ffffffff,1,50,REAL,0.36764705882352944,0.058823529411764705,MIXED
kings spa,852664dbfffffff,842664dffffffff,1,50,REAL,0.75,0.11764705882352941,LOCAL
valvoline oil change,852a1407fffffff,842a141ffffffff,2,50,REAL,0.51470588235294112,0.13235294117647059,MIXED
the edge,852a1073fffffff,842a107ffffffff,3,50,REAL,0.66176470588235292,0.20588235294117646,MIXED
mountain coaster,8544ca03fffffff,8444ca1ffffffff,3,50,REAL,0.14705882352941177,0.51470588235294112,TRAVEL_LIKE
oil change,85264d13fffffff,84264d1ffffffff,3,50,REAL,0.6029411764705882,0.29411764705882354,MIXED
universal,8544a917fffffff,8444a91ffffffff,3,50,REAL,0.19117647058823528,0.72058823529411764,TRAVEL_LIKE
samsclub,852ab12bfffffff,842ab13ffffffff,3,50,REAL,0.014705882352941176,0.98529411764705888,TRAVEL_LIKE
movies,85260a13fffffff,84260a1ffffffff,3,50,REAL,0,1,TRAVEL_LIKE
massage,8526c877fffffff,8426c87ffffffff,0,50,REAL,0.86956521739130432,0.028985507246376812,LOCAL
oil change,8526c863fffffff,8426c87ffffffff,0,50,REAL,0.82608695652173914,0.13043478260869565,LOCAL
massage,8526c86bfffffff,8426c87ffffffff,1,50,REAL,0.75362318840579712,0.13043478260869565,LOCAL
christmas connection,852ab313fffffff,842ab31ffffffff,1,50,REAL,0.65217391304347827,0.086956521739130432,MIXED
pottery,8529a54ffffffff,8429a55ffffffff,1,50,REAL,0.24637681159420291,0.11594202898550725,MIXED
valvoline,85264623fffffff,8426463ffffffff,1,50,REAL,0.76811594202898548,0.13043478260869565,LOCAL
massage,8529a1d3fffffff,8429a1dffffffff,1,50,REAL,0.79710144927536231,0.086956521739130432,LOCAL
full synthetic oil change,8544a9a3fffffff,8444a9bffffffff,2,50,REAL,0.36231884057971014,0.13043478260869565,MIXED
horror nights,8529a1d7fffffff,8429a1dffffffff,2,50,REAL,0.53623188405797106,0.10144927536231885,MIXED
atlantic city hotels,852a132ffffffff,842a133ffffffff,3,50,REAL,0,0.49275362318840582,MIXED
chuck,852a100ffffffff,842a101ffffffff,3,50,REAL,0.072463768115942032,0.88405797101449279,TRAVEL_LIKE
massage,8529b6d3fffffff,8429b6dffffffff,0,50,REAL,0.88571428571428568,0.1,LOCAL
couples massage,85446caffffffff,84446cbffffffff,0,50,REAL,0.84285714285714286,0.12857142857142856,LOCAL
valvoline oil change,8544c137fffffff,8444c13ffffffff,1,50,REAL,0.65714285714285714,0.085714285714285715,MIXED
play city,8529a477fffffff,8429a47ffffffff,1,50,REAL,0.54285714285714282,0,MIXED
skyzone,8529a1dbfffffff,8429a1dffffffff,1,50,REAL,0.7857142857142857,0.028571428571428571,LOCAL
renew body spa,852a100ffffffff,842a101ffffffff,1,50,REAL,0.77142857142857146,0.15714285714285714,LOCAL
valvoline oil change,852a8d8bfffffff,842a8d9ffffffff,2,50,REAL,0.3,0.18571428571428572,MIXED
san diego zoo,8529a41bfffffff,8429a41ffffffff,3,50,REAL,0.31428571428571428,0.5,TRAVEL_LIKE
amf,8529b6dbfffffff,8429b6dffffffff,3,50,REAL,0,1,TRAVEL_LIKE
movie theater,8529a033fffffff,8429a03ffffffff,3,50,REAL,0.071428571428571425,0.68571428571428572,TRAVEL_LIKE
city pass,852a1073fffffff,842a107ffffffff,3,50,REAL,0.22857142857142856,0.74285714285714288,TRAVEL_LIKE
paint nite,852a33cbfffffff,842a33dffffffff,3,50,REAL,0,0.84285714285714286,TRAVEL_LIKE
ohio medical marijuana,852664c3fffffff,842664dffffffff,3,50,REAL,0,1,TRAVEL_LIKE
microsoft office for mac,852aad57fffffff,842aad5ffffffff,3,50,REAL,0,0.87142857142857144,TRAVEL_LIKE
food,852986bbfffffff,842986bffffffff,3,50,REAL,0.3,0.68571428571428572,TRAVEL_LIKE
zoo,8548eba7fffffff,8448ebbffffffff,0,50,REAL,0.83098591549295775,0.11267605633802817,LOCAL
oil change,852a840bfffffff,842a841ffffffff,0,50,REAL,0.85915492957746475,0.070422535211267609,LOCAL
botox,852a1057fffffff,842a105ffffffff,0,50,REAL,0.87323943661971826,0.042253521126760563,LOCAL
massage,852ab387fffffff,842ab39ffffffff,2,50,REAL,0.74647887323943662,0.19718309859154928,LOCAL
ninja factory,8529a477fffffff,8429a47ffffffff,2,50,REAL,0.53521126760563376,0.028169014084507043,MIXED
massage,8544a917fffffff,8444a91ffffffff,2,50,REAL,0.74647887323943662,0.16901408450704225,LOCAL
andretti,8544a82bfffffff,8444a83ffffffff,2,50,REAL,0.39436619718309857,0.19718309859154928,MIXED
atlanta airport parking,8544c1abfffffff,8444c1bffffffff,2,50,REAL,0.40845070422535212,0.19718309859154928,MIXED
head spa,852a101bfffffff,842a101ffffffff,0,50,REAL,0.84722222222222221,0.027777777777777776,LOCAL
oil change,8528308ffffffff,8428309ffffffff,0,50,REAL,0.88888888888888884,0,LOCAL
skyzone,852a120ffffffff,842a121ffffffff,1,50,REAL,0.65277777777777779,0.013888888888888888,MIXED
oil change,852a3317fffffff,842a331ffffffff,1,50,REAL,0.70833333333333337,0.069444444444444448,LOCAL
altitude,85489e27fffffff,84489e3ffffffff,2,50,REAL,0.69444444444444442,0.097222222222222224,MIXED
laser hair removal,85283083fffffff,8428309ffffffff,2,50,REAL,0.75,0.1388888888888889,LOCAL
big air,852a896ffffffff,842a897ffffffff,3,50,REAL,0.56944444444444442,0.3611111111111111,MIXED
chucky cheese,852a100ffffffff,842a101ffffffff,3,50,REAL,0.097222222222222224,0.83333333333333337,TRAVEL_LIKE
massage,85464b97fffffff,84464b9ffffffff,3,50,REAL,0.72222222222222221,0.27777777777777779,MIXED
things to do,85265e4bfffffff,84265e5ffffffff,3,50,REAL,0,1,TRAVEL_LIKE
minus 5,852986bbfffffff,842986bffffffff,3,50,REAL,0.47222222222222221,0.52777777777777779,TRAVEL_LIKE
kingpins,8528f01bfffffff,8428f01ffffffff,0,50,REAL,0.87671232876712324,0.0821917808219178,LOCAL
pure med spa,852664cbfffffff,842664dffffffff,0,50,REAL,0.9178082191780822,0.0136986301369863,LOCAL
oil change,8529a1dbfffffff,8429a1dffffffff,0,50,REAL,0.83561643835616439,0.0273972602739726,LOCAL
smog check,8528309bfffffff,8428309ffffffff,0,50,REAL,0.87671232876712324,0.0136986301369863,LOCAL
botox,8529a19bfffffff,8429a19ffffffff,0,50,REAL,0.90410958904109584,0.0273972602739726,LOCAL
uptown jungle,8529b6dbfffffff,8429b6dffffffff,0,50,REAL,0.9726027397260274,0.0273972602739726,LOCAL
oil change,852aaab3fffffff,842aaabffffffff,0,50,REAL,0.821917808219178,0.0547945205479452,LOCAL
massage,852a9313fffffff,842a931ffffffff,1,50,REAL,0.79452054794520544,0.1095890410958904,LOCAL
seatac parking,8528d553fffffff,8428d55ffffffff,1,50,REAL,0.69863013698630139,0.0958904109589041,MIXED
spa,85446ca7fffffff,84446cbffffffff,1,50,REAL,0.76712328767123283,0.136986301369863,LOCAL
funville,852af637fffffff,842af63ffffffff,2,50,REAL,0.64383561643835618,0.15068493150684931,MIXED
spa,852664dbfffffff,842664dffffffff,3,50,REAL,0.64383561643835618,0.20547945205479451,MIXED
island water park,852a132ffffffff,842a133ffffffff,3,50,REAL,0.0410958904109589,0.34246575342465752,MIXED
moonshine mountain coaster,8544ca03fffffff,8444ca1ffffffff,3,50,REAL,0.0821917808219178,0.69863013698630139,TRAVEL_LIKE
ghost tour,85444643fffffff,8444465ffffffff,3,50,REAL,0.24657534246575341,0.65753424657534243,TRAVEL_LIKE
laser bounce,852a100ffffffff,842a101ffffffff,0,50,REAL,0.93243243243243246,0.040540540540540543,LOCAL
bowling,85262cd3fffffff,84262cdffffffff,0,50,REAL,0.918918918918919,0.054054054054054057,LOCAL
valvoline oil change,852a1343fffffff,842a135ffffffff,0,50,REAL,0.82432432432432434,0.040540540540540543,LOCAL
oil change,8526c86ffffffff,8426c87ffffffff,0,50,REAL,0.8783783783783784,0.0945945945945946,LOCAL
head spa,8529a033fffffff,8429a03ffffffff,1,50,REAL,0.56756756756756754,0.027027027027027029,MIXED
botox,852a134bfffffff,842a135ffffffff,1,50,REAL,0.67567567567567566,0.013513513513513514,MIXED
sky zone,8526463bfffffff,8426463ffffffff,3,50,REAL,0.51351351351351349,0.20270270270270271,MIXED
brazilian wax,85446c13fffffff,84446c1ffffffff,3,50,REAL,0.054054054054054057,0.918918918918919,TRAVEL_LIKE
slick city,8526462bfffffff,8426463ffffffff,3,50,REAL,0.581081081081081,0.25675675675675674,MIXED
windows 10,852aad57fffffff,842aad5ffffffff,3,50,REAL,0,0.918918918918919,TRAVEL_LIKE
jcpenny photo,8544a103fffffff,8444a11ffffffff,3,50,REAL,0,0.98648648648648651,TRAVEL_LIKE
big play,85445547fffffff,8444555ffffffff,3,50,REAL,0.054054054054054057,0.43243243243243246,MIXED
altitude trampoline park,8526cb8bfffffff,8426cb9ffffffff,0,50,REAL,0.88,0.04,LOCAL
honey kettle,8529a19bfffffff,8429a19ffffffff,0,50,REAL,0.93333333333333335,0.026666666666666668,LOCAL
massage,852a10b3fffffff,842a10bffffffff,1,50,REAL,0.72,0.053333333333333337,LOCAL
airport parking,8526aa6ffffffff,8426aa7ffffffff,1,50,REAL,0.73333333333333328,0.066666666666666666,LOCAL
green meadows,8527599bfffffff,8427599ffffffff,1,50,REAL,0.61333333333333329,0.04,MIXED
fairmont princess,8529b6dbfffffff,8429b6dffffffff,1,50,REAL,0.77333333333333332,0.093333333333333338,LOCAL
couples massage,8544c133fffffff,8444c13ffffffff,1,50,REAL,0.70666666666666667,0.14666666666666667,LOCAL
oil change,8544a183fffffff,8444a19ffffffff,1,50,REAL,0.52,0.10666666666666667,MIXED
massage,852a14abfffffff,842a14bffffffff,2,50,REAL,0.70666666666666667,0.12,LOCAL
oil change,852a16b3fffffff,842a16bffffffff,2,50,REAL,0.29333333333333333,0.053333333333333337,MIXED
oil change,85283217fffffff,8428321ffffffff,2,50,REAL,0.72,0.13333333333333333,LOCAL
castaway bay,852ab35bfffffff,842ab35ffffffff,3,50,REAL,0.013333333333333334,0.30666666666666664,MIXED
massage,85264d13fffffff,84264d1ffffffff,3,50,REAL,0.62666666666666671,0.22666666666666666,MIXED
