query;clicks;conv_rate_fci;fci_conv;fci_ogp;gp_user_fci;gppi_fci;impressions;lci_conv;lci_ogp;search_ctr;search_counts;unique_users
vape;35;0.0;0;0.0;0.0;0.0;779;0;0.0;0.2201;159;72
vanity;24;0.006;1;12.998999596;0.171039468;0.014284615;910;1;12.998999596;0.1529;157;76
vanilla perfume;8;0.0;0;0.0;0.0;0.0;801;0;0.0;0.039;205;3
vancouver;27;0.0;0;0.0;0.0;0.0;1615;0;0.0;0.1007;268;75
van gogh;3;0.0;0;0.0;0.0;0.0;463;0;0.0;0.028;107;47
van;1;0.0;0;0.0;0.0;0.0;617;0;0.0;0.0045;220;188
vampire facial near me;5;0.0;0;0.0;0.0;0.0;389;0;0.0;0.0641;78;15
vampire facial;134;0.005;2;139.162900925;1.070483853;0.056159363;2478;2;139.162900925;0.3333;402;130
vampire;44;0.006;1;56.888999939;0.557735294;0.084405044;674;1;56.888999939;0.2588;170;102
valvoline oil change;123;0.058;21;271.599804878;1.257406504;0.189136354;1436;19;249.683004379;0.3379;364;216
valvoline;3032;0.08;466;5503.125662327;1.762692397;0.229316012;23998;438;5157.200660706;0.5185;5848;3122
valvolin;89;0.068;17;200.373002052;0.838380762;0.254280459;788;17;200.373002052;0.3532;252;239
valvoli;67;0.105;15;184.940202713;1.302395794;0.38690419;478;15;184.940202713;0.4685;143;142
valvol;202;0.129;46;512.377207279;1.55737753;0.398117488;1287;43;477.322206974;0.5658;357;329
valvo;440;0.119;94;1084.486013889;1.504141489;0.375384567;2889;92;1068.622414589;0.5577;789;721
valv;889;0.157;213;2424.964838505;1.973120292;0.500612064;4844;205;2337.428737164;0.6556;1356;1229
