text,tfidf
123,2.441248364243913e-05
1234,1.1927319951507587e-05
1234yf,2.5102057681687258e-05
124,2.0426359946611156e-05
125,0.00019283959171635936
1255,1.0428379311829192e-05
125ml,1.1971452520109845e-05
126,3.376482659165164e-05
128,5.1714380109577806e-05
128gb,0.0001752896018812489
129,2.216202669009646e-05
12mm,2.209758869158708e-05
12oz,4.4910324525188896e-05
12pcs,5.494830728805688e-05
12pk,1.8314166660963585e-05
12pm,1.2058236678254542e-05
12th,2.475886194749766e-05
12v,0.000101783197994686
12x,1.1567569463650978e-05
12x12,1.164113278704481e-05
13,0.0007334618093675266
130,3.87158599154369e-05
1301,1.754761753689371e-05
131,1.549855057403771e-05
132,1.4494215903075849e-05
134,2.7234856971881482e-05
1345,1.5284865328717157e-05
134a,1.4670428790121492e-05
135,1.5919427999503163e-05
1350,2.3718899809130627e-05
136th,1.3353930600869956e-05
138,2.1117494929276342e-05
139,1.3090772295279951e-05
13th,4.903966453473696e-05
14,0.000986159395243177
140,4.6432683238567575e-05
1400w,1.5792084589741083e-05
142,1.0629050829102587e-05
1420,1.1911189690080961e-05
144,1.9090873467719708e-05
146,1.0831331636712343e-05
149,2.5563405469111397e-05
14k,0.0009908849448920477
14kt,4.607457191599958e-05
14th,5.008207164888195e-05
15,0.002918059572415329
150,0.0004836694846673724
1500,4.387232699926735e-05
1500a,1.4344347816126356e-05
1500mg,2.2647220275703096e-05
1500w,3.4089899967050446e-05
150psi,1.7538606999348053e-05
1515,2.1845723195659823e-05
1550,1.6523160989225837e-05
156,2.1238777186812304e-05
157,1.2966822546213937e-05
158,1.4132909438009474e-05
159,4.8434568607668936e-05
15ft,1.8291053251595192e-05
15ml,3.9277298389500185e-05
15mm,4.4441683121091815e-05
15th,2.793202636696571e-05
15w,2.44245980142083e-05
16,0.0011152706658384567
160,5.95390658958557e-05
1600,1.9066759518474704e-05
161,3.6870111417142627e-05
1615,1.2019500054635159e-05
165,1.8526510584827336e-05
1676,2.0797046158851844e-05
168,2.0996780919215232e-05
169,2.1561601765227132e-05
1692,1.863350681462817e-05
16gb,0.0001027532090830744
16oz,4.132897601155875e-05
16th,3.333461150390807e-05
16x12,1.335201318929704e-05
16x20,1.1391244369818334e-05
17,0.0004849327420225448
170,3.2707459762760046e-05
1700,3.090935348125655e-05
175,2.9329007194813874e-05
1750,1.9220091968438218e-05
179,3.2746894673592983e-05
17oz,2.0478611400821822e-05
17th,2.972655636236646e-05
18,0.0010406325136282655
180,0.00014082115814779733
1800,0.0001897304486326396
1800w,2.1438143067076832e-05
180concerts,1.0847758563389076e-05
181,1.5263839783421824e-05
185,1.5511433051017732e-05
1880,1.1133336260221387e-05
189,1.424692814694618e-05
1899,1.0195312154102759e-05
18k,0.001069870639825646
18mm,1.8290220202877714e-05
18th,1.8205865232967846e-05
18w,2.2468807204548336e-05
19,0.0007886216297330493
190,1.834032387098376e-05
1917,1.1499746630844566e-05
192,1.2366412553039521e-05
1920,2.3101874431594294e-05
195,1.5950757919639567e-05
1971,1.0440547922449794e-05
1976,4.313707571892651e-05
198,5.086858308686579e-05
1980,1.4594874173267396e-05
199,0.00010825167287963187
1990,1.4078409942827923e-05
1991,1.9433310474246872e-05
1996,6.404736223238144e-05
1997,1.934183224390135e-05
1998,1.9740957327108873e-05
19th,1.4882512306499114e-05
1cc,5.272852883498969e-05
1ct,5.682360633735769e-05
1g,2.534465693892216e-05
1hr,4.202022222979806e-05
1l,2.6698636628813232e-05
1lb,1.0658579946657746e-05
1m,2.200910870655324e-05
1ml,9.181046475936634e-05
1mm,1.9972036567266045e-05
1on1,1.0263620011886375e-05
1oz,0.00014839170714283495
1pack,1.736671133307634e-05
1pk,1.490714222428377e-05
1self,1.0700000987734775e-05
1st,0.00010870798802334817
1tb,3.5556526156873716e-05
20,0.005976325720702805
200,0.0005428267017494538
2000,0.000202821987356398
20000mah,1.1460306997999063e-05
2000mg,2.8554356095655253e-05
2000w,1.495761264406674e-05
2001,1.6968088849880047e-05
2008,1.0284305633462153e-05
2009,1.0666356450445548e-05
200g,1.1983145580353396e-05
200led,2.150446500943361e-05
200ml,4.3426767647823536e-05
201,3.531406373044889e-05
2010,1.371168968366456e-05
2013,1.0757541423111689e-05
2015,1.3497616830065305e-05
2016,3.334583744295275e-05
2017,5.314123776961333e-05
2018,3.6977245459082884e-05
2019,0.00011137592751727667
2020,0.00014085120754136528
2021,0.00011749120223643744
2022,0.00012402751930247604
2023,9.839573010716058e-05
2024,0.00023339231459386636
2025,0.0008485865460603449
2026,1.6612498576108668e-05
2027,1.4593241266905946e-05
2030,1.7663367809283915e-05
205,1.303537779878564e-05
2063,1.8257064996420672e-05
208,2.184600320589848e-05
20ct,1.3418357508458597e-05
20ft,1.171045922508275e-05
20l,1.768983955801036e-05
20mm,2.813486679016948e-05
20mph,1.0341736341430392e-05
20oz,1.958592366762126e-05
20pcs,1.7856411977809133e-05
20pk,2.429086389967547e-05
20th,3.0256297153338322e-05
20v,1.253194763880229e-05
20w,7.881990098501379e-05
20x16,1.0623251556354734e-05
21,0.001189313187025996
210,2.9499443497996618e-05
211,2.3077326708917274e-05
212,4.160908257704092e-05
215,3.074078489225826e-05
218,1.0042947390849227e-05
219,1.1948030123138336e-05
21st,2.1448616336155688e-05
22,0.0008245765035364698
220,1.743403275281467e-05
2201,1.0789276215373126e-05
221,1.6764335724471712e-05
222,2.570582152167045e-05
224,1.702824676007977e-05
225,6.101656441447136e-05
22nd,2.422364779554094e-05
23,0.0007533598292746255
230,2.0730667185288258e-05
23k,8.690658216689654e-05
23kt,3.3449334243331185e-05
23rd,2.1825290217344916e-05
24,0.0015018785256728933
240,5.777283104201518e-05
2400,1.4141609572915762e-05
240v,1.0473024728024474e-05
245,1.867000901357668e-05
2459,3.326153964057195e-05
247,9.39339856239826e-05
249,1.3486571159576343e-05
24h,1.748160628768436e-05
24k,0.0005241931977414498
