trigram,tfidf
instant oil change,0.00030431379248988243
interior and exterior,0.0002337988141416591
ipl photo facial,0.00014012511952115936
jack in the,0.0003431826131972832
jet ski rental,0.00010936297186655655
keratin lash lift,0.0001073727694812009
keratin treatment at,0.00013573972409848152
keratin treatment with,0.00011771461960673157
large area at,0.00011313230186298634
large area up,0.00011851837405860464
laser and skin,0.00012833480420956095
laser hair removal,0.001421759657413886
laser hairremoval sessions,0.0008086978761733287
laser hairremoval treatments,0.0002796113892156433
laser lipo sessions,0.00012600446716162908
laser lipo treatments,0.0001791321618393703
laser skin resurfacing,0.00021841475284549103
laser tattoo removal,0.00021332532931066537
lash and brow,0.0001559684288184302
lash extensions up,0.00010979703112984168
lash lift and,0.00021800308274986786
lash lift tint,0.00012825148607214707
lash lift with,0.00010770815799681399
lash up to,0.00010092152185164851
lashes up to,0.00012040015775657068
lasik eye surgery,0.00012908095633057666
led light therapy,0.0003192647380057481
lift and tint,0.00036863328797916443
lift treatment up,0.00013186675299918632
lift up to,0.00012653402376260718
light therapy at,0.0001192437452132857
light therapy sessions,0.0001614165846161567
light therapy up,0.00015071313997124997
lipo noninvasive laserilipo,0.00012531389362290947
liquivida wellness center,0.00013146027659808818
llc up to,0.00017796187110334581
look up to,0.00014734458164257088
look with one,0.00010115480805905606
lymphatic drainage massage,0.00048188529490589537
lymphatic drainage massages,0.0001365967308584277
manicure and pedicure,0.00011539657117774347
manicure up to,0.00010431709888980407
martial arts classes,0.0002086793571755415
mask up to,0.0001521449501407852
massage and facial,0.00013206362051531074
massage and spa,0.00020279713409685087
massage for one,0.00010871474513531054
massage relax with,0.00011322361413399035
massage up to,0.0009084404697934818
massage with aromatherapy,0.00026548318393647814
massage with choice,0.0001505180359431482
massage with essential,0.00016858252368883692
massage with hot,0.0006853068856157989
massages up to,0.00014645016943082441
med spa up,0.00022360122979341742
med spa with,0.00016113975916912934
medical marijuana card,0.00013205152589815345
medical weight loss,0.00017778359570083338
medium or large,0.00030616353251083456
medspa up to,0.0001261389001062296
meineke car care,0.00011221010719550197
mens haircut and,0.00015977099569702122
microblading session with,0.00018415315428734234
microdermabrasion treatment experience,0.00010677064157095132
microdermabrasion treatment with,0.00014199030667869837
microdermabrasion up to,0.00018117959222639708
microneedling treatment up,0.00013434295376123505
microneedling treatment with,0.00018132983369513776
mink eyelash extensions,0.00027367264953706425
minute deep tissue,0.00010244099996069736
minutes up to,0.00013293315064937813
mlo license course,0.0001407546030073766
month of unlimited,0.00027106235848294263
more 10 for,0.00012184744494693009
more up to,0.0005856642527698556
more with up,0.00038274636743896093
multiple dates available,0.00010393605325812594
murder among us,0.00045269889893370533
murder mystery dinner,0.00011378152566795261
murray dance studio,0.00014674832945765353
